ts_utc,open,high,low,close,volume,amount,source
1788056400,2457.42,2457.84,2455.19,2455.19,75.0351333,184364.392186064011,kucoin_legacy
1788056700,2455.19,2456.57,2453.65,2455.4,32.8809565,80722.648902585002,kucoin_legacy
1788057000,2455.41,2455.89,2453.68,2455.01,57.419387,140938.005158762011,kucoin_legacy
1788057300,2455,2456.06,2454.09,2456.06,26.9973568,66283.185982822994,kucoin_legacy
1788057600,2456.05,2457.76,2455.59,2455.77,14.4541743,35514.897624931,kucoin_legacy
1788057900,2455.77,2455.89,2454.84,2455.7,48.1032982,118106.418787051007,kucoin_legacy
1788058200,2455.9,2458.88,2455.9,2457.86,49.96338,122799.669473671005,kucoin_legacy
1788058500,2457.87,2457.87,2454.79,2454.92,27.3821494,67271.496512283993,kucoin_legacy
1788058800,2454.93,2455.92,2454.15,2454.54,11.0287276,27073.260599802001,kucoin_legacy
1788059100,2455.15,2455.32,2454.26,2455.32,5.4215953,13309.422573255,kucoin_legacy
1788059400,2455.33,2455.87,2455.33,2455.85,3.7884702,9303.494842431999,kucoin_legacy
1788059700,2455.4,2456.77,2455.4,2456.4,3.3859582,8314.807755684,kucoin_legacy
1788060000,2456.4,2456.99,2455.06,2456.99,36.0262567,88482.891712209996,kucoin_legacy
1788060300,2456.99,2458.82,2456.93,2458.82,18.9283647,46522.742631023997,kucoin_legacy
1788060600,2459.14,2460.44,2458.1,2460.2,31.9190584,78512.352570239003,kucoin_legacy
1788060900,2460.12,2460.12,2458.57,2458.79,1.8171248,4468.34493423,kucoin_legacy
1788061200,2458.8,2460.37,2458.38,2458.39,27.6602375,68020.893970425997,kucoin_legacy
1788061500,2458.39,2458.39,2457.75,2457.98,26.6002117,65380.773157338001,kucoin_legacy
1788061800,2457.98,2457.99,2457.22,2457.23,0.6787421,1667.880890099,kucoin_legacy
1788062100,2457.22,2457.59,2457,2457.1,4.0603606,9976.844529725,kucoin_legacy
1788062400,2457.1,2458.44,2457.07,2458.44,10.1201562,24869.186919264001,kucoin_legacy
1788062700,2458.44,2458.69,2456.51,2456.98,5.8957114,14492.503030095,kucoin_legacy
1788063000,2456.99,2457.13,2456.89,2457.1,0.7234081,1777.381387369,kucoin_legacy
