published_at_utc,published_at_local,date_local,history_file,entry_ts_utc,entry_close,max_up_pct_12,max_down_pct_12,close_change_pct_12,range_pct_12,max_up_pct_24,max_down_pct_24,close_change_pct_24,range_pct_24,max_up_pct_36,max_down_pct_36,close_change_pct_36,range_pct_36,max_up_pct_48,max_down_pct_48,close_change_pct_48,range_pct_48,max_up_pct_60,max_down_pct_60,close_change_pct_60,range_pct_60,max_up_pct_72,max_down_pct_72,close_change_pct_72,range_pct_72,max_up_pct_84,max_down_pct_84,close_change_pct_84,range_pct_84,max_up_pct_96,max_down_pct_96,close_change_pct_96,range_pct_96,t_hit_up_0p5,t_hit_down_0p5,mdd_before_hit_up_0p5,t_hit_up_1,t_hit_down_1,mdd_before_hit_up_1,t_hit_up_2,t_hit_down_2,mdd_before_hit_up_2,t_hit_up_3,t_hit_down_3,mdd_before_hit_up_3,t_hit_up_5,t_hit_down_5,mdd_before_hit_up_5
2025-12-17T02:59:38+00:00,2025-12-17T04:59:38+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T02-59-38Z.json,1765936800,2959.63,0.0784,-2.4817,-0.8778,2.5601,2.4017,-5.698,-4.1377,8.0997,2.4017,-5.698,-0.7166,8.0997,2.4017,-6.0693,-4.184,8.471,2.4017,-6.0693,0.8251,8.471,2.4017,-6.0693,0.7778,8.471,2.4017,-6.0693,0.572,8.471,2.4017,-6.0693,0.2071,8.471,13,2,-2.4817,13,2,-2.4817,13,12,-2.4817,,14,,,16,
2025-12-17T03:44:51+00:00,2025-12-17T05:44:51+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T03-44-51Z.json,1765940400,2948.86,2.7756,-2.1256,-0.624,4.9012,2.7756,-5.3536,-3.9344,8.1292,2.7756,-5.3536,1.1177,8.1292,2.7756,-5.7263,-0.8108,8.5019,2.7756,-5.7263,0.6752,8.5019,2.7756,-5.7263,1.1767,8.5019,2.7756,-5.7263,0.9037,8.5019,2.7756,-5.7263,0.7461,8.5019,12,1,-2.1256,12,2,-2.1256,12,11,-2.1256,,13,,,16,
2025-12-17T04:56:29+00:00,2025-12-17T06:56:29+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T04-56-29Z.json,1765944000,2933.79,3.3036,-3.3977,-2.5666,6.7012,3.3036,-4.8674,-3.2524,8.171,3.3036,-4.8674,0.3545,8.171,3.3036,-5.242,-0.3869,8.5456,3.3036,-5.242,1.3106,8.5456,3.3036,-5.242,1.7448,8.5456,3.3036,-5.242,1.4275,8.5456,3.3036,-5.242,1.4694,8.5456,3,1,-0.6596,11,10,-1.6228,11,12,-1.6228,11,12,-1.6228,,40,
2025-12-17T05:44:54+00:00,2025-12-17T07:44:54+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T05-44-54Z.json,1765947600,2926.91,3.5464,-3.1706,-2.5969,6.717,3.5464,-4.6438,-3.4132,8.1902,3.5464,-4.6438,-2.8433,8.1902,3.5464,-5.0193,-0.2204,8.5657,3.5464,-5.0193,1.0062,8.5657,3.5464,-5.0193,1.9823,8.5657,3.5464,-5.0193,1.8057,8.5657,3.5464,-5.0193,1.627,8.5657,1,5,0.0,10,9,-1.3916,10,11,-1.3916,10,11,-1.3916,,39,
2025-12-17T06:58:49+00:00,2025-12-17T08:58:49+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T06-58-49Z.json,1765951200,2936.49,3.2086,-4.4407,-4.2786,7.6493,3.2086,-4.9549,-3.5835,8.1635,3.2086,-4.9549,-3.7252,8.1635,3.2086,-5.3292,0.2752,8.5377,3.2086,-5.3292,1.101,8.5377,3.2086,-5.3292,1.497,8.5377,3.2086,-5.3292,1.324,8.5377,3.2086,-5.3292,1.3472,8.5377,1,3,-0.1505,9,8,-1.7133,9,10,-1.7133,9,10,-1.7133,,38,
2025-12-17T07:40:16+00:00,2025-12-17T09:40:16+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T07-40-16Z.json,1765954800,2949.99,2.7363,-5.3898,-4.8241,8.1261,2.7363,-5.3898,-3.8902,8.1261,2.7363,-5.3898,-4.242,8.1261,2.7363,-5.7624,0.1288,8.4987,2.7363,-5.7624,1.0173,8.4987,2.7363,-5.7624,1.1315,8.4987,2.7363,-5.7624,0.9227,8.4987,2.7363,-5.7624,0.9258,8.4987,8,1,-2.1631,8,2,-2.1631,8,7,-2.1631,,9,,,12,
2025-12-17T08:58:16+00:00,2025-12-17T10:58:16+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T08-58-16Z.json,1765958400,2924.38,3.636,-4.5613,-3.3156,8.1973,3.636,-4.5613,-2.83,8.1973,3.636,-4.9371,-4.3767,8.5731,3.636,-4.9371,0.9397,8.5731,3.636,-4.9371,2.4306,8.5731,3.636,-4.9371,2.0763,8.5731,3.636,-4.9371,2.0168,8.5731,3.636,-4.9371,2.2743,8.5731,5,2,-0.5396,7,6,-1.3063,7,8,-1.3063,7,8,-1.3063,,,
2025-12-17T09:50:17+00:00,2025-12-17T11:50:17+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T09-50-17Z.json,1765962000,2927.15,3.5379,-4.6516,-3.8184,8.1895,3.5379,-4.6516,-2.4638,8.1895,3.5379,-5.0271,-3.6151,8.565,3.5379,-5.0271,0.8431,8.565,3.5379,-5.0271,1.8909,8.565,3.5379,-5.0271,2.0054,8.565,3.5379,-5.0271,1.908,8.565,3.5379,-5.0271,2.483,8.565,5,1,-1.3997,6,5,-1.3997,6,7,-1.3997,6,7,-1.3997,,35,
2025-12-17T10:50:42+00:00,2025-12-17T12:50:42+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T10-50-42Z.json,1765965600,2921.3,3.7453,-4.4607,-3.1582,8.2059,3.7453,-4.4607,-2.1535,8.2059,3.7453,-4.8369,-3.1962,8.5821,3.7453,-4.8369,1.1286,8.5821,3.7453,-4.8369,2.4003,8.5821,3.7453,-4.8369,1.8714,8.5821,3.7453,-4.8369,1.8718,8.5821,3.7453,-4.8369,2.6793,8.5821,3,4,-0.1267,5,4,-1.2022,5,6,-1.2022,5,8,-1.2022,,,
2025-12-17T11:34:31+00:00,2025-12-17T13:34:31+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T11-34-31Z.json,1765969200,2928.97,3.4736,-4.7109,-3.5934,8.1844,3.4736,-4.7109,-2.4828,8.1844,3.4736,-5.0861,-3.4135,8.5597,3.4736,-5.0861,1.2895,8.5597,3.4736,-5.0861,1.873,8.5597,3.4736,-5.0861,2.0161,8.5597,3.4736,-5.0861,1.6081,8.5597,3.4736,-5.0861,2.3602,8.5597,3,3,-1.4609,4,3,-1.4609,4,5,-1.4609,4,5,-1.4609,,33,
2025-12-17T13:45:56+00:00,2025-12-17T15:45:56+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T13-45-56Z.json,1765976400,2939.76,3.0938,-5.0606,-3.8214,8.1544,3.0938,-5.0606,0.799,8.1544,3.0938,-5.4345,-4.036,8.5282,3.0938,-5.4345,0.7691,8.5282,3.0938,-5.4345,1.2419,8.5282,3.0938,-5.4345,1.1127,8.5282,3.0938,-5.4345,0.9467,8.5282,3.0938,-5.4345,0.5671,8.5282,2,1,-1.8226,2,1,-1.8226,2,3,-1.8226,2,3,-1.8226,,6,
2025-12-17T14:52:27+00:00,2025-12-17T16:52:27+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T14-52-27Z.json,1765980000,2933.65,3.3085,-4.8629,-3.2887,8.1714,3.3085,-4.8629,0.1626,8.1714,3.3085,-5.2375,-3.3354,8.546,3.3085,-5.2375,1.718,8.546,3.3085,-5.2375,1.6703,8.546,3.3085,-5.2375,1.4627,8.546,3.3085,-5.2375,1.0945,8.546,3.3085,-5.2375,1.0025,8.546,1,2,-0.1442,1,2,-0.1442,1,2,-0.1442,1,2,-0.1442,,30,
2025-12-17T15:47:15+00:00,2025-12-17T17:47:15+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T15-47-15Z.json,1765983600,2930.46,-0.1689,-4.7593,-3.3312,4.5904,2.286,-4.7593,1.7526,7.0453,2.286,-5.1343,-0.188,7.4203,3.0122,-5.1343,1.3073,8.1465,3.0122,-5.1343,1.812,8.1465,3.0122,-5.1343,1.5373,8.1465,3.0122,-5.1343,1.3786,8.1465,3.0122,-5.1343,1.3053,8.1465,22,1,-4.7593,22,1,-4.7593,23,1,-4.7593,48,1,-5.1343,,29,
2025-12-17T16:58:56+00:00,2025-12-17T18:58:56+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T16-58-56Z.json,1765987200,2858.49,0.7217,-2.3614,-0.7039,3.0831,4.8613,-2.3614,2.9981,7.2227,4.8613,-2.7459,2.2372,7.6072,5.6058,-2.7459,3.9794,8.3516,5.6058,-2.7459,4.4251,8.3516,5.6058,-2.7459,4.0994,8.3516,5.6058,-2.7459,4.1424,8.3516,5.6058,-2.7459,4.126,8.3516,1,1,-0.5776,21,2,-2.3614,21,3,-2.3614,21,,-2.3614,47,,-2.7459
2025-12-17T17:47:11+00:00,2025-12-17T19:47:11+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T17-47-11Z.json,1765990800,2850.9,0.4041,-2.1014,-0.838,2.5055,5.1405,-2.1014,-0.2529,7.2419,5.1405,-2.4869,2.4399,7.6274,5.8869,-2.4869,3.6992,8.3738,5.8869,-2.4869,4.7013,8.3738,5.8869,-2.4869,4.52,8.3738,5.8869,-2.4869,4.3365,8.3738,5.8869,-2.4869,4.627,8.3738,19,1,-2.1014,20,1,-2.1014,20,2,-2.1014,20,,-2.1014,22,,-2.1014
2025-12-17T18:59:09+00:00,2025-12-17T20:59:09+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T18-59-09Z.json,1765994400,2810.85,1.3178,-0.7065,0.7261,2.0243,6.6386,-0.7065,0.5781,7.3451,6.6386,-1.0975,4.7573,7.7361,7.3956,-1.0975,5.62,8.4932,7.3956,-1.0975,6.0338,8.4932,7.3956,-1.0975,5.853,8.4932,7.3956,-1.0975,5.8772,8.4932,7.3956,-1.0975,6.1611,8.4932,2,1,-0.7065,6,26,-0.7065,18,,-0.7065,19,,-0.7065,19,,-0.7065
2025-12-17T19:32:18+00:00,2025-12-17T21:32:18+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T19-32-18Z.json,1765998000,2807.68,1.4321,-0.0808,0.9812,1.513,6.759,-0.3722,0.6115,7.1312,6.759,-0.9859,5.2039,7.7448,7.5169,-0.9859,6.1375,8.5027,7.5169,-0.9859,6.2575,8.5027,7.5169,-0.9859,6.0381,8.5027,7.5169,-0.9859,6.0413,8.5027,7.5169,-0.9859,6.5104,8.5027,1,25,-0.0808,3,,-0.0808,15,,-0.0808,18,,-0.0808,18,,-0.0808
