asset,published_at_utc,published_at_local,date_local,history_file,entry_ts_utc,entry_close,max_up_pct_24,max_down_pct_24,close_change_pct_24,range_pct_24,max_up_pct_48,max_down_pct_48,close_change_pct_48,range_pct_48,max_up_pct_168,max_down_pct_168,close_change_pct_168,range_pct_168,max_up_pct_336,max_down_pct_336,close_change_pct_336,range_pct_336,t_hit_up_0p5,t_hit_down_0p5,mdd_before_hit_up_0p5,t_hit_up_1,t_hit_down_1,mdd_before_hit_up_1,t_hit_up_2,t_hit_down_2,mdd_before_hit_up_2,t_hit_up_3,t_hit_down_3,mdd_before_hit_up_3,t_hit_up_5,t_hit_down_5,mdd_before_hit_up_5
ETH-USDT,2025-12-17T03:44:51+00:00,2025-12-17T05:44:51+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T03-44-51Z.json,1765940400,2948.86,2.7756,-5.3536,-3.9344,8.1292,2.7756,-5.7263,-0.8108,8.5019,4.341,-5.7263,-0.1007,10.0673,4.341,-5.7263,0.7335,10.0673,12,1,-2.1256,12,2,-2.1256,12,11,-2.1256,117,13,-5.7263,,16,
ETH-USDT,2025-12-17T04:56:29+00:00,2025-12-17T06:56:29+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T04-56-29Z.json,1765944000,2933.79,3.3036,-4.8674,-3.2524,8.171,3.3036,-5.242,-0.3869,8.5456,4.877,-5.242,0.0562,10.119,4.877,-5.242,1.3137,10.119,3,1,-0.6596,11,10,-1.6228,11,12,-1.6228,11,12,-1.6228,,40,
ETH-USDT,2025-12-17T05:44:54+00:00,2025-12-17T07:44:54+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T05-44-54Z.json,1765947600,2926.91,3.5464,-4.6438,-3.4132,8.1902,3.5464,-5.0193,-0.2204,8.5657,5.1235,-5.0193,0.4339,10.1428,5.1235,-5.0193,1.7394,10.1428,1,5,0.0,10,9,-1.3916,10,11,-1.3916,10,11,-1.3916,127,39,-5.0193
ETH-USDT,2025-12-17T06:58:49+00:00,2025-12-17T08:58:49+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T06-58-49Z.json,1765951200,2936.49,3.2086,-4.9549,-3.5835,8.1635,3.2086,-5.3292,0.2752,8.5377,4.7805,-5.3292,-0.1018,10.1097,4.7805,-5.3292,1.3598,10.1097,1,3,-0.1505,9,8,-1.7133,9,10,-1.7133,9,10,-1.7133,,38,
ETH-USDT,2025-12-17T07:40:16+00:00,2025-12-17T09:40:16+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T07-40-16Z.json,1765954800,2949.99,2.7363,-5.3898,-3.8902,8.1261,2.7363,-5.7624,0.1288,8.4987,4.301,-5.7624,-0.5064,10.0634,4.301,-5.7624,0.8366,10.0634,8,1,-2.1631,8,2,-2.1631,8,7,-2.1631,113,9,-5.7624,,12,
ETH-USDT,2025-12-17T08:58:16+00:00,2025-12-17T10:58:16+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T08-58-16Z.json,1765958400,2924.38,3.636,-4.5613,-2.83,8.1973,3.636,-4.9371,0.9397,8.5731,5.2144,-4.9371,-0.0554,10.1516,5.2144,-4.9371,1.5008,10.1516,5,2,-0.5396,7,6,-1.3063,7,8,-1.3063,7,8,-1.3063,124,,-4.9371
ETH-USDT,2025-12-17T09:50:17+00:00,2025-12-17T11:50:17+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T09-50-17Z.json,1765962000,2927.15,3.5379,-4.6516,-2.4638,8.1895,3.5379,-5.0271,0.8431,8.565,5.1149,-5.0271,-0.2156,10.1419,5.1149,-5.0271,1.6057,10.1419,5,1,-1.3997,6,5,-1.3997,6,7,-1.3997,6,7,-1.3997,123,35,-5.0271
ETH-USDT,2025-12-17T10:50:42+00:00,2025-12-17T12:50:42+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T10-50-42Z.json,1765965600,2921.3,3.7453,-4.4607,-2.1535,8.2059,3.7453,-4.8369,1.1286,8.5821,5.3254,-4.8369,0.2745,10.1623,5.3254,-4.8369,1.9621,10.1623,3,4,-0.1267,5,4,-1.2022,5,6,-1.2022,5,8,-1.2022,122,,-4.8369
ETH-USDT,2025-12-17T11:34:31+00:00,2025-12-17T13:34:31+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T11-34-31Z.json,1765969200,2928.97,3.4736,-4.7109,-2.4828,8.1844,3.4736,-5.0861,1.2895,8.5597,5.0496,-5.0861,0.0765,10.1356,5.0496,-5.0861,2.0557,10.1356,3,3,-1.4609,4,3,-1.4609,4,5,-1.4609,4,5,-1.4609,121,33,-5.0861
ETH-USDT,2025-12-17T13:45:56+00:00,2025-12-17T15:45:56+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T13-45-56Z.json,1765976400,2939.76,3.0938,-5.0606,0.799,8.1544,3.0938,-5.4345,0.7691,8.5282,4.664,-5.4345,-0.3888,10.0984,4.664,-5.4345,1.6444,10.0984,2,1,-1.8226,2,1,-1.8226,2,3,-1.8226,2,3,-1.8226,,6,
ETH-USDT,2025-12-17T14:52:27+00:00,2025-12-17T16:52:27+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T14-52-27Z.json,1765980000,2933.65,3.3085,-4.8629,0.1626,8.1714,3.3085,-5.2375,1.718,8.546,4.882,-5.2375,-0.6896,10.1195,4.882,-5.2375,2.5378,10.1195,1,2,-0.1442,1,2,-0.1442,1,2,-0.1442,1,2,-0.1442,,30,
