asset,published_at_utc,published_at_local,date_local,history_file,entry_ts_utc,entry_close,n_candles_snapshot,ret_6h_pct,ret_12h_pct,ret_24h_pct,ret_48h_pct,range_24h_pct,range_48h_pct,atr14_pct,dist_from_24h_high_pct,dist_from_24h_low_pct,dist_from_48h_high_pct,dist_from_48h_low_pct,close_vs_sma_24_pct,close_vs_sma_48_pct,is_up_24h,is_up_48h
ETH-USDT,2026-02-09T10:15:05+00:00,2026-02-09T12:15:05+02:00,2026-02-09,data/history/2026-02-09/2026-02-09T10-15-05Z.json,1770631200,2040.43,96,-2.3881,-3.2531,-2.6554,1.4867,5.7625,7.1083,1.3113,-5.4738,0.2887,-5.4738,1.6345,-2.5229,-2.148,0,1
ETH-USDT,2026-02-09T11:54:22+00:00,2026-02-09T13:54:22+02:00,2026-02-09,data/history/2026-02-09/2026-02-09T11-54-22Z.json,1770634800,2023.94,96,-3.4338,-3.1594,-5.085,0.2581,6.849,7.0867,1.3555,-6.3332,0.5158,-6.3332,0.7535,-3.0671,-2.9266,0,1
ETH-USDT,2026-02-09T13:43:38+00:00,2026-02-09T15:43:38+02:00,2026-02-09,data/history/2026-02-09/2026-02-09T13-43-38Z.json,1770642000,2039.33,96,-1.2799,-1.5325,-4.1042,-0.1029,6.7973,7.0332,1.2654,-5.5307,1.2666,-5.5307,1.5025,-1.9799,-2.1847,0,0
ETH-USDT,2026-02-09T15:07:43+00:00,2026-02-09T17:07:43+02:00,2026-02-09,data/history/2026-02-09/2026-02-09T15-07-43Z.json,1770649200,2071.27,96,1.4195,-1.3836,-1.7597,0.9337,6.9252,6.9252,1.3302,-3.9034,3.0218,-3.9034,3.0218,-0.1672,-0.6782,0,1
ETH-USDT,2026-02-09T17:09:11+00:00,2026-02-09T19:09:11+02:00,2026-02-09,data/history/2026-02-09/2026-02-09T17-09-11Z.json,1770656400,2081.49,96,2.6325,-0.688,-0.51,0.9756,6.8912,6.8912,1.4446,-3.3932,3.498,-3.3932,3.498,0.346,-0.239,0,1
ETH-USDT,2026-02-09T19:37:52+00:00,2026-02-09T21:37:52+02:00,2026-02-09,data/history/2026-02-09/2026-02-09T19-37-52Z.json,1770663600,2134.18,96,5.5094,3.3116,0.3522,2.048,6.7211,6.7211,1.4961,-0.8406,5.8805,-0.8406,5.8805,2.733,2.162,1,1
ETH-USDT,2026-02-09T20:55:38+00:00,2026-02-09T22:55:38+02:00,2026-02-09,data/history/2026-02-09/2026-02-09T20-55-38Z.json,1770667200,2128.81,96,4.166,3.8591,1.1499,1.1148,6.738,6.738,1.492,-1.095,5.6431,-1.095,5.6431,2.4304,1.8838,1,1
ETH-USDT,2026-02-09T21:52:33+00:00,2026-02-09T23:52:33+02:00,2026-02-09,data/history/2026-02-09/2026-02-09T21-52-33Z.json,1770670800,2105.03,96,2.1036,3.0725,0.532,0.2114,6.8142,6.8142,1.5395,-2.237,4.5771,-2.237,4.5771,1.2718,0.7453,1,1
ETH-USDT,2026-02-09T22:53:44+00:00,2026-02-10T00:53:44+02:00,2026-02-10,data/history/2026-02-10/2026-02-09T22-53-44Z.json,1770674400,2112.62,96,1.0243,4.4507,0.1697,1.1636,6.7897,6.7897,1.4899,-1.8697,4.92,-1.8697,4.92,1.5946,1.0667,1,1
ETH-USDT,2026-02-09T23:50:57+00:00,2026-02-10T01:50:57+02:00,2026-02-10,data/history/2026-02-10/2026-02-09T23-50-57Z.json,1770678000,2104.5,96,-1.0736,3.7671,0.6952,0.8405,6.6153,6.8159,1.4533,-2.0622,4.5531,-2.2628,4.5531,1.1694,0.6581,1,1
