asset,published_at_utc,published_at_local,date_local,history_file,entry_ts_utc,entry_close,n_candles_snapshot,ret_6h_pct,ret_12h_pct,ret_24h_pct,ret_48h_pct,range_24h_pct,range_48h_pct,atr14_pct,dist_from_24h_high_pct,dist_from_24h_low_pct,dist_from_48h_high_pct,dist_from_48h_low_pct,close_vs_sma_24_pct,close_vs_sma_48_pct,is_up_24h,is_up_48h,max_up_pct_24,max_down_pct_24,close_change_pct_24,range_pct_24,max_up_pct_48,max_down_pct_48,close_change_pct_48,range_pct_48,max_up_pct_168,max_down_pct_168,close_change_pct_168,range_pct_168,max_up_pct_336,max_down_pct_336,close_change_pct_336,range_pct_336,t_hit_up_0p5,t_hit_down_0p5,mdd_before_hit_up_0p5,t_hit_up_1,t_hit_down_1,mdd_before_hit_up_1,t_hit_up_2,t_hit_down_2,mdd_before_hit_up_2,t_hit_up_3,t_hit_down_3,mdd_before_hit_up_3,t_hit_up_5,t_hit_down_5,mdd_before_hit_up_5
ETH-USDT,2026-01-30T02:49:11+00:00,2026-01-30T04:49:11+02:00,2026-01-30,data/history/2026-01-30/2026-01-30T02-49-11Z.json,1769738400,2751.31,96,-2.1784,-6.3272,-8.267,-8.8427,8.0663,10.7614,1.7454,-7.4186,0.6477,-10.1137,0.6477,-4.8044,-6.9394,0,0,-0.1454,-2.4058,-1.5698,2.2604,-0.1454,-14.1096,-10.531,13.9643,-0.1454,-32.7084,-29.1726,32.563,-0.1454,-32.7084,-29.0505,32.563,,4,,,4,,,18,,,30,,,36,
ETH-USDT,2026-01-30T04:49:19+00:00,2026-01-30T06:49:19+02:00,2026-01-30,data/history/2026-01-30/2026-01-30T04-49-19Z.json,1769745600,2775.24,96,-1.7729,-2.1659,-6.2606,-7.7052,7.8844,10.5562,1.5602,-6.4924,1.392,-9.1643,1.392,-3.4052,-5.8006,0,0,-1.0064,-3.2473,-2.5313,2.2409,-1.0064,-14.8502,-11.5507,13.8438,-1.0064,-33.2887,-30.8892,32.2823,-1.0064,-33.2887,-29.5351,32.2823,,1,,,2,,,2,,,16,,,28,
ETH-USDT,2026-01-30T05:58:32+00:00,2026-01-30T07:58:32+02:00,2026-01-30,data/history/2026-01-30/2026-01-30T05-58-32Z.json,1769749200,2760.63,96,-2.374,-3.4752,-6.915,-8.2408,7.9261,10.6121,1.5264,-7.056,0.8701,-9.742,0.8701,-3.6271,-6.1319,0,0,-0.8143,-2.7352,-2.0767,1.9209,-0.8143,-14.3996,-11.2713,13.5853,-0.8143,-32.9356,-28.4413,32.1213,-0.8143,-32.9356,-29.4802,32.1213,,1,,,1,,,15,,,26,,,33,
ETH-USDT,2026-01-30T07:51:33+00:00,2026-01-30T09:51:33+02:00,2026-01-30,data/history/2026-01-30/2026-01-30T07-51-33Z.json,1769756400,2750.75,96,-2.2234,-2.159,-7.2244,-8.7724,8.1789,11.3071,1.5541,-7.0079,1.171,-10.1361,1.171,-3.3742,-6.1126,0,0,-0.4581,-2.6909,-2.0718,2.2328,-0.4581,-14.0922,-12.0454,13.6341,-0.4581,-32.6947,-30.576,32.2367,-0.4581,-32.6947,-29.1684,32.2367,,2,,,2,,,13,,,25,,,31,
ETH-USDT,2026-01-30T08:55:00+00:00,2026-01-30T10:55:00+02:00,2026-01-30,data/history/2026-01-30/2026-01-30T08-55-00Z.json,1769760000,2748.45,96,-0.104,-2.2801,-7.4693,-8.5852,8.1526,11.3166,1.516,-7.0643,1.0882,-10.2283,1.0882,-3.1405,-6.0186,0,0,-0.3748,-4.2278,-2.365,3.8531,-0.3748,-14.0203,-11.6502,13.6455,-0.3748,-32.6384,-30.5954,32.2636,-0.3748,-32.6384,-28.539,32.2636,,1,,,1,,,12,,,24,,,30,
ETH-USDT,2026-01-30T09:52:48+00:00,2026-01-30T11:52:48+02:00,2026-01-30,data/history/2026-01-30/2026-01-30T09-52-48Z.json,1769763600,2744.0,96,-0.1397,-2.8796,-7.1681,-9.0608,8.2325,11.441,1.5091,-7.1986,1.0339,-10.4071,1.0339,-2.9955,-5.9876,0,0,-0.2132,-4.0725,-3.0674,3.8593,-0.2132,-13.8808,-11.5525,13.6676,-0.2132,-32.5292,-29.6902,32.316,-0.2132,-32.5292,-28.3233,32.316,,7,,,11,,,11,,,23,,,29,
ETH-USDT,2026-01-30T10:51:15+00:00,2026-01-30T12:51:15+02:00,2026-01-30,data/history/2026-01-30/2026-01-30T10-51-15Z.json,1769767200,2735.99,96,-1.4143,-3.1621,-7.226,-9.9832,7.7961,11.3681,1.4901,-7.1583,0.6378,-10.7303,0.6378,-2.9741,-6.0586,0,0,0.0789,-3.7917,-2.9967,3.8706,0.0789,-13.6287,-10.8568,13.7077,0.0789,-32.3316,-29.2362,32.4106,0.0789,-32.3316,-28.0195,32.4106,,10,,,10,,,21,,,22,,,28,
ETH-USDT,2026-01-30T11:38:23+00:00,2026-01-30T13:38:23+02:00,2026-01-30,data/history/2026-01-30/2026-01-30T11-38-23Z.json,1769770800,2742.28,96,-0.6647,-3.0229,-6.8981,-9.9525,7.7782,11.342,1.3875,-6.9125,0.8657,-10.4763,0.8657,-2.4597,-5.6387,0,0,-0.1506,-4.0124,-3.3035,3.8618,-0.1506,-13.8268,-12.711,13.6762,-0.1506,-32.4868,-28.8913,32.3362,-0.1506,-32.4868,-28.5303,32.3362,,5,,,9,,,9,,,21,,,27,
ETH-USDT,2026-01-30T13:18:34+00:00,2026-01-30T15:18:34+02:00,2026-01-30,data/history/2026-01-30/2026-01-30T13-18-34Z.json,1769778000,2743.51,96,-0.2632,-2.4807,-6.6656,-9.9207,5.7335,10.5791,1.4162,-4.8234,0.9101,-9.669,0.9101,-1.9205,-5.2236,0,0,-0.2781,-4.0554,-3.9107,3.7773,-0.2781,-13.8654,-12.1924,13.5873,-0.2781,-32.5171,-28.6684,32.239,-0.2781,-32.5171,-28.3301,32.239,,3,,,7,,,7,,,19,,,25,
ETH-USDT,2026-01-30T14:50:46+00:00,2026-01-30T16:50:46+02:00,2026-01-30,data/history/2026-01-30/2026-01-30T14-50-46Z.json,1769781600,2765.09,96,0.6054,0.5009,-5.8581,-8.883,3.6295,10.4966,1.3946,-1.946,1.6835,-8.8131,1.6835,-0.9065,-4.2977,0,0,-1.0564,-8.5838,-4.6696,7.5274,-1.0564,-15.6317,-13.5844,14.5753,-1.0564,-33.0438,-27.5651,31.9874,-1.0564,-33.0438,-27.6049,31.9874,,1,,,1,,,6,,,17,,,24,
